,ID,T,E
251,1,78716,56
249,1,78753,31
247,1,78810,44
248,1,78860,40
246,1,78915,8
253,1,78915,8
252,1,79248,32
255,1,79353,13
254,1,79362,58
256,1,79511,53
257,1,79855,8
258,1,79923,13
260,1,80006,59
259,1,80117,58
261,1,80252,59
263,1,80308,19
262,1,80477,45
266,1,80500,8
264,1,80509,29
265,1,80550,3
269,1,80593,6
267,1,80700,13
268,1,80751,15
271,1,81450,6
270,1,81500,15
272,1,81714,0
273,1,81857,64
275,1,82031,30
276,1,82155,0
277,1,82257,60
274,1,82272,8
278,1,82353,32
279,1,82389,52
280,1,82531,31
284,1,83280,63
282,1,83309,14
281,1,83339,5
283,1,83380,4
286,1,83873,64
285,1,84096,32
287,1,84419,4
288,1,84647,55
289,1,84898,17
290,1,84991,63
294,1,85024,8
291,1,85025,59
295,1,85192,11
292,1,85211,66
293,1,85239,57
296,1,85419,37
297,1,85772,29
299,1,86009,41
301,1,86010,8
300,1,86014,49
298,1,86175,6
302,1,86338,8
303,1,86570,0
305,1,86857,4
304,1,86910,8
306,1,87200,26
307,1,87344,6
308,1,87461,13
309,1,87646,49
310,1,87779,40
312,1,87944,63
311,1,87945,13
313,1,88104,13
314,1,88143,59
315,1,88194,48
316,1,88410,6
317,1,88868,58
318,1,89204,48
319,1,89233,65
320,1,89401,13
322,1,89479,65
321,1,89568,4
323,1,90105,30
325,1,90162,9
326,1,90340,22
324,1,90397,49
329,1,90433,58
332,1,90469,16
327,1,90505,49
328,1,90521,60
331,1,90555,48
330,1,90569,48
333,1,90595,48
335,1,90857,8
334,1,90954,0
336,1,91229,21
341,1,91370,51
338,1,91377,14
339,1,91451,40
337,1,91489,9
340,1,91562,14
343,1,91610,37
342,1,91618,37
346,1,91814,59
344,1,91865,49
345,1,91880,49
347,1,91948,49
349,1,92349,65
351,1,92379,31
348,1,92385,21
350,1,92492,31
352,1,93056,0
354,1,93172,41
356,1,93186,41
355,1,93257,34
353,1,93369,63
357,1,93647,3
358,1,93890,40
361,1,94092,13
359,1,94147,0
360,1,94228,32
362,1,94705,46
363,1,94734,0
365,1,94988,48
367,1,95000,48
366,1,95002,48
364,1,95056,15
369,1,95311,0
368,1,95486,48
372,1,95552,30
373,1,95633,0
371,1,95734,56
370,1,95737,27
374,1,95820,16
376,1,95867,13
375,1,95989,8
379,1,96309,30
378,1,96357,6
380,1,96363,14
383,1,96363,9
377,1,96379,56
381,1,96422,64
382,1,96427,8
384,1,96703,40
385,1,96801,0
387,1,97118,26
386,1,97166,51
389,1,97420,26
393,1,97465,9
396,1,97495,63
390,1,97495,57
391,1,97530,13
392,1,97535,31
388,1,97560,8
394,1,97605,9
403,1,97639,64
395,1,97639,64
398,1,98201,49
397,1,98262,64
402,1,98262,64
400,1,98348,41
399,1,98426,32
401,1,98478,37
404,1,98494,37
405,1,98526,63
407,1,98573,0
408,1,98738,32
406,1,98761,47
409,1,98886,63
411,1,98917,32
413,1,98921,31
412,1,98944,41
410,1,99043,29
416,1,99418,6
414,1,99446,26
415,1,99622,50
417,1,100016,29
418,1,100133,32
420,1,100353,14
419,1,100545,49
421,1,100830,31
422,1,100950,15
423,1,101218,31
424,1,101277,49
425,1,101304,6
426,1,101495,41
427,1,102056,6
428,1,102095,32
429,1,102590,30
430,1,102591,30
431,1,102901,26
432,1,103083,65
433,1,103136,60
434,1,103270,30
436,1,103412,30
435,1,103461,65
437,1,103689,30
438,1,103794,30
439,1,103873,1
442,1,104045,13
444,1,104053,32
443,1,104076,32
440,1,104148,15
445,1,104176,15
441,1,104195,32
446,1,104351,41
448,1,104600,55
447,1,104706,49
449,1,104823,55
456,1,104861,55
453,1,104905,10
451,1,104932,13
452,1,105018,17
450,1,105050,49
454,1,105098,37
455,1,105267,63
458,1,105433,18
457,1,105473,13
459,1,105896,14
460,1,106301,14
461,1,106719,0
463,1,107315,3
464,1,107374,3
462,1,107382,17
465,1,107675,3
466,1,107776,3
467,1,107913,40
468,1,108913,58
470,1,109121,15
469,1,109272,0
472,1,109342,26
475,1,109342,26
471,1,109379,31
473,1,109850,58
477,1,109917,10
474,1,110068,16
476,1,110513,10
478,1,111329,41
479,1,112006,14
480,1,112179,30
481,1,112464,11
482,1,112891,59
483,1,113363,0
485,1,113968,60
484,1,114023,20
486,1,114045,14
487,1,114548,14
488,1,114586,14
489,1,114647,59
492,1,115747,30
491,1,115847,26
490,1,115892,55
493,1,115903,55
494,1,115924,55
495,1,116009,4
497,1,116018,4
496,1,116095,13
498,1,117012,32
499,1,117198,13
500,1,117356,32
502,1,118797,54
501,1,118876,49
503,1,119255,8
504,1,119969,41
505,1,120951,0
506,1,121553,58
507,1,121815,5
508,1,122220,57
509,1,122858,0
510,1,123152,8
511,1,123613,16
512,1,123882,8
514,1,124033,61
513,1,124236,18
515,1,125646,11
516,1,126419,3
517,1,127399,31
518,1,127716,9
520,1,129302,32
519,1,129337,3
521,1,130094,55
524,1,131065,49
523,1,131076,49
522,1,131191,9
525,1,131787,41
527,1,132103,41
528,1,132171,32
529,1,132182,9
526,1,132203,9
530,1,133022,4
531,1,133868,60
532,1,134227,29
533,1,135282,4
535,1,136362,29
534,1,136395,4
536,1,136786,59
537,1,136985,50
538,1,138363,21
539,1,138835,27
541,1,139410,59
542,1,139410,21
547,1,139410,59
544,1,139410,3
546,1,139410,59
540,1,139573,59
543,1,140056,3
545,1,140404,31
548,1,141101,44
549,1,142500,6
550,1,142971,6
551,1,144010,15
552,1,145258,0
553,1,145275,49
554,1,145319,49
555,1,145478,29
556,1,145711,11
557,1,146086,8
558,1,146207,41
559,1,147098,14
561,1,147209,40
560,1,147346,16
562,1,147408,60
563,1,147855,59
564,1,148045,1
565,1,148772,63
566,1,149639,13
567,1,150898,40
568,1,150989,0
569,1,151496,65
570,1,152209,10
571,1,152787,30
572,1,152867,49
573,1,152978,15
574,1,153585,16
575,1,153788,31
576,1,154276,40
577,1,154297,9
578,1,154895,29
580,1,155005,3
579,1,155135,60
581,1,155715,63
582,1,155900,51
584,1,156587,16
583,1,156657,20
585,1,157102,58
587,1,157314,4
589,1,157390,59
586,1,157504,49
590,1,157504,59
591,1,157573,49
588,1,157581,49
593,1,157833,63
592,1,157840,63
594,1,157889,63
600,1,157889,63
596,1,157936,0
598,1,157989,15
595,1,158000,40
597,1,158092,8
599,1,158325,59
602,1,158589,65
603,1,158695,0
601,1,158731,58
604,1,158985,49
605,1,159321,0
606,1,159368,14
607,1,159520,37
608,1,159739,8
609,1,160281,13
610,1,160480,0
611,1,160853,30
612,1,160897,30
613,1,160961,15
614,1,160993,15
616,1,161555,16
615,1,161673,58
617,1,161819,58
618,1,161930,50
619,1,162100,15
621,1,162240,13
620,1,162288,63
622,1,162478,9
623,1,162854,13
627,1,163087,4
624,1,163101,4
626,1,163119,4
625,1,163296,0
628,1,163607,65
629,1,163703,60
630,1,163900,40
631,1,164185,13
632,1,164787,6
634,1,165258,32
633,1,165330,6
635,1,165419,40
638,1,165511,0
636,1,165637,11
637,1,165696,0
639,1,165766,13
640,1,166109,55
642,1,166442,15
643,1,166593,8
641,1,166593,58
644,1,166730,40
646,1,167294,46
645,1,167450,31
647,1,167527,59
649,1,167848,4
648,1,167909,30
651,1,167966,59
650,1,168088,29
654,1,168164,30
653,1,168167,30
652,1,168215,21
655,1,168243,30
656,1,168441,51
657,1,168716,51
658,1,168774,49
659,1,168801,49
660,1,168847,49
662,1,169423,32
661,1,169459,30
663,1,169477,0
664,1,169509,10
665,1,169931,26
666,1,170207,41
667,1,170326,40
668,1,170459,13
669,1,170504,13
670,1,170841,9
671,1,171253,17
673,1,171408,59
674,1,171435,60
672,1,171444,60
675,1,171496,60
676,1,171788,0
678,1,172142,60
677,1,172295,60
679,1,172316,60
681,1,172476,21
680,1,172488,60
682,1,172631,15
683,1,172904,40
685,1,173202,41
684,1,173305,41
686,1,173441,32
687,1,173605,37
689,1,174102,27
688,1,174143,8
690,1,174171,15
691,1,174237,8
693,1,174257,14
692,1,174336,8
694,1,175257,8
695,1,175425,31
700,1,175645,30
699,1,175798,52
697,1,175862,30
698,1,175864,30
696,1,175887,36
701,1,175956,30
702,1,176031,0
704,1,176278,13
706,1,176300,13
705,1,176356,41
703,1,176408,31
707,1,176760,8
708,1,176809,26
709,1,176892,26
712,1,177177,3
710,1,177323,51
711,1,177390,0
714,1,177514,8
715,1,177549,59
716,1,177580,32
717,1,177669,58
713,1,177673,32
719,1,178010,27
718,1,178109,30
721,1,178132,30
720,1,178174,11
722,1,178303,13
725,1,178670,0
724,1,178811,63
723,1,178860,51
726,1,179121,14
727,1,179263,14
732,1,179266,31
731,1,179316,13
730,1,179353,9
729,1,179393,32
728,1,179426,3
733,1,179757,32
734,1,180072,0
738,1,180072,14
736,1,180155,4
740,1,180158,4
737,1,180173,40
735,1,180371,0
739,1,180371,14
742,1,180402,0
741,1,180432,15
745,1,180818,13
744,1,180859,1
743,1,180940,13
746,1,181296,32
748,1,181531,13
749,1,181539,49
747,1,181590,23
750,1,181958,27
751,1,182041,48
753,1,182255,14
752,1,182342,41
754,1,182525,64
755,1,182525,64
756,1,183109,19
757,1,183280,49
760,1,183472,13
758,1,183477,41
759,1,183556,49
761,1,184011,3
762,1,184026,37
763,1,184383,21
764,1,184576,32
767,1,184608,32
766,1,184612,32
765,1,184653,6
769,1,185551,51
768,1,185773,66
772,1,185831,8
771,1,185968,15
770,1,186046,15
774,1,186228,30
773,1,186375,8
775,1,186419,65
777,1,186419,65
776,1,186565,49
779,1,187123,51
780,1,187175,29
778,1,187257,4
781,1,187440,60
783,1,187702,13
782,1,187784,50
785,1,187785,13
784,1,187808,50
786,1,187858,50
788,1,187959,54
787,1,188041,50
790,1,188173,13
789,1,188178,32
791,1,188240,15
792,1,188716,32
793,1,188751,31
794,1,188797,63
795,1,188953,13
796,1,188989,6
797,1,189208,30
798,1,189213,8
802,1,189460,66
799,1,189477,26
800,1,189519,50
801,1,189674,30
803,1,189705,41
805,1,189852,29
806,1,189913,41
807,1,189932,16
808,1,189941,41
804,1,189944,60
818,1,190021,0
812,1,190021,0
820,1,190037,0
813,1,190037,0
811,1,190146,6
809,1,190174,41
810,1,190200,16
814,1,190304,0
816,1,190337,59
817,1,190409,49
815,1,190448,32
819,1,190739,23
821,1,190902,34
823,1,190902,34
824,1,191054,19
822,1,191121,64
825,1,191595,54
826,1,191696,6
828,1,191878,8
827,1,191979,0
829,1,192114,26
830,1,192250,21
832,1,192511,39
831,1,192656,26
833,1,192994,30
834,1,193206,49
835,1,193222,30
836,1,193222,30
837,1,193596,22
839,1,195648,8
838,1,195695,60
844,1,196025,30
842,1,196064,6
840,1,196096,9
843,1,196218,30
846,1,196218,30
847,1,196218,30
841,1,196263,40
845,1,196263,40
849,1,196325,0
848,1,196341,0
852,1,196409,10
851,1,196424,27
850,1,196547,27
853,1,196663,15
854,1,197295,1
859,1,197295,1
861,1,197304,1
855,1,197304,1
862,1,197307,1
856,1,197307,1
858,1,197563,30
857,1,197736,22
860,1,197982,31
863,1,198144,4
865,1,198457,32
864,1,198659,59
867,1,199076,59
866,1,199252,56
871,1,199252,40
869,1,199256,40
872,1,199296,40
868,1,199296,56
870,1,199571,0
873,1,199661,40
874,1,199811,32
876,1,200111,47
875,1,200144,58
877,1,200456,30
878,1,200557,8
879,1,200873,11
880,1,201292,66
881,1,201326,66
882,1,201377,66
883,1,201684,11
884,1,201882,49
885,1,202026,26
886,1,202452,51
887,1,202602,21
888,1,202998,30
889,1,203302,27
890,1,203326,41
892,1,203657,37
891,1,203693,4
893,1,204055,4
898,1,204142,9
894,1,204148,9
896,1,204221,9
895,1,204276,9
897,1,204287,9
899,1,205139,32
900,1,205279,39
901,1,205405,10
902,1,205627,8
906,1,205627,8
903,1,205773,8
907,1,205773,8
904,1,205950,8
905,1,206853,14
909,1,207484,8
908,1,207518,55
912,1,207762,40
911,1,207762,40
910,1,207860,64
913,1,208562,34
914,1,209506,29
915,1,209535,11
916,1,210631,13
917,1,211697,8
918,1,212359,26
919,1,213165,11
920,1,213202,38
921,1,213907,53
922,1,214199,31
923,1,215677,65
924,1,216035,21
925,1,216147,56
926,1,217650,6
927,1,218055,0
929,1,218082,61
928,1,218171,32
930,1,218204,31
931,1,218261,32
932,1,218573,8
933,1,219085,13
934,1,222077,63
935,1,222199,49
936,1,225763,8
937,1,226457,8
938,1,226962,11
939,1,227272,8
941,1,229123,8
940,1,229283,50
942,1,229461,33
943,1,229731,19
945,1,230895,17
944,1,230939,32
946,1,231110,61
947,1,231206,31
949,1,231795,30
950,1,231811,30
948,1,231858,38
951,1,232525,59
952,1,232672,31
953,1,232790,6
958,1,232832,30
954,1,232832,30
955,1,233743,59
956,1,233972,37
957,1,234069,51
959,1,234203,55
960,1,234445,8
961,1,235459,13
962,1,235590,30
964,1,236114,38
963,1,236181,40
966,1,236428,37
965,1,236476,57
967,1,237103,40
968,1,237147,13
969,1,237655,24
970,1,237699,9
971,1,237810,8
972,1,238622,40
974,1,238622,40
973,1,238659,13
975,1,239076,32
976,1,239590,51
978,1,239825,51
977,1,239853,4
979,1,240166,24
985,1,240173,49
982,1,240803,6
981,1,240851,4
980,1,240980,49
983,1,241694,41
984,1,241854,30
986,1,242629,37
987,1,243059,37
988,1,243417,16
989,1,243550,49
991,1,243905,3
990,1,243905,3
992,1,244296,30
996,1,244326,51
993,1,244342,13
995,1,244509,6
997,1,244509,6
994,1,244545,22
998,1,244621,59
999,1,244983,16
1000,1,245546,51
1001,1,245570,51
1002,1,245960,0
1004,1,246155,9
1003,1,246322,10
1005,1,246585,30
1006,1,246813,14
1008,1,247183,54
1009,1,247233,50
1010,1,247233,49
1011,1,247233,49
1007,1,247287,55
1012,1,247871,41
1014,1,247943,9
1013,1,248158,41
1015,1,248404,49
1016,1,248632,48
1017,1,248924,49
1018,1,249042,0
1020,1,249140,4
1021,1,249196,40
1019,1,249364,61
1022,1,249733,40
1023,1,249823,0
1024,1,250079,29
1026,1,250395,32
1025,1,250498,54
1027,1,250741,31
1028,1,250741,31
1030,1,250972,18
1029,1,251064,9
1031,1,251103,51
1032,1,251295,13
1034,1,251716,40
1033,1,251760,32
1037,1,251851,15
1035,1,251948,39
1036,1,252022,0
1039,1,252103,31
1038,1,252135,40
1040,1,252240,30
1041,1,252779,17
1042,1,252919,13
1043,1,253005,8
1044,1,253268,49
1047,1,253923,63
1045,1,253968,8
1046,1,253997,8
1048,1,254381,8
1050,1,254639,49
1049,1,254771,58
1051,1,255373,15
1053,1,255423,3
1052,1,255549,32
1054,1,255759,13
1055,1,255759,13
1057,1,256153,6
1056,1,256202,0
1058,1,256259,64
1059,1,256409,49
1060,1,256452,19
1062,1,256716,21
1061,1,256792,21
1063,1,256917,3
1064,1,257958,27
1065,1,258518,30
1067,1,258518,30
1066,1,258610,13
1069,1,258726,13
1068,1,258988,49
1071,1,259024,40
1080,1,259024,40
1072,1,259075,40
1070,1,259263,13
1073,1,259331,49
1074,1,259551,8
1076,1,259754,16
1077,1,259767,30
1078,1,259807,30
1075,1,259838,9
1079,1,260100,8
1081,1,260635,51
1083,1,260729,8
1082,1,260786,4
1086,1,260891,8
1085,1,260918,30
1084,1,261037,15
1087,1,261286,13
1090,1,261473,8
1088,1,261484,0
1089,1,261580,32
1091,1,261975,41
1092,1,262047,9
1095,1,262516,9
1093,1,262555,41
1094,1,262592,31
1097,1,263641,49
1096,1,263705,4
1098,1,264286,17
1100,1,264666,30
1099,1,264863,8
1101,1,265037,0
1103,1,265387,30
1102,1,265398,31
1104,1,265509,30
1105,1,266052,31
1109,1,266366,37
1107,1,266401,65
1108,1,266439,60
1106,1,266467,30
1110,1,266501,32
1111,1,266685,67
1114,1,267726,30
1115,1,267757,31
1113,1,267841,14
1112,1,267918,49
1116,1,267984,58
1117,1,268144,58
1119,1,269021,41
1118,1,269022,8
1120,1,269169,40
1121,1,269582,40
1122,1,269898,4
1123,1,269923,55
1124,1,270375,59
1126,1,270446,15
1125,1,270658,0
1130,1,270809,30
1129,1,270816,13
1128,1,270917,5
1127,1,270995,13
1131,1,271046,14
1132,1,271096,30
1133,1,271113,65
1136,1,271349,13
1135,1,271390,26
1134,1,271539,4
1137,1,271860,30
1138,1,271903,37
1139,1,272013,9
1140,1,272200,48
1141,1,272201,13
1142,1,272310,30
1143,1,272531,16
1144,1,272614,8
1146,1,272857,4
1145,1,272956,4
1171,1,272956,4
1147,1,273129,55
1148,1,273188,55
1149,1,273482,4
1150,1,273496,16
1151,1,273706,58
1154,1,273749,14
1153,1,273780,26
1155,1,273823,51
1152,1,273874,21
1174,1,274144,0
1156,1,274144,0
1158,1,274574,59
1157,1,274576,2
1160,1,274829,29
1159,1,274876,49
1161,1,274887,27
1162,1,275071,37
1163,1,275153,0
1164,1,275231,13
1165,1,275969,0
1167,1,276145,49
1166,1,276258,0
1168,1,276342,6
1169,1,276661,41
1170,1,276844,9
1172,1,277121,16
1173,1,277494,13
1175,1,277721,63
1177,1,278327,27
1176,1,278405,30
1179,1,278546,58
1178,1,278683,13
1180,1,279634,0
1181,1,279782,14
1182,1,279944,13
1183,1,280012,6
1184,1,280306,6
1185,1,280650,0
1186,1,280779,31
1188,1,281282,11
1189,1,281305,11
1187,1,281411,36
1190,1,281416,19
1191,1,282008,40
1192,1,282127,40
1193,1,282566,4
1194,1,282964,23
1196,1,283013,60
1195,1,283065,15
1197,1,283373,8
1198,1,283652,49
1200,1,285491,8
1199,1,285647,54
1201,1,285706,56
1204,1,286043,30
1203,1,286089,21
1202,1,286268,0
1205,1,286318,25
1207,1,286458,4
1206,1,286544,4
1208,1,286648,21
1210,1,286750,9
1209,1,286752,30
1211,1,287651,33
1212,1,288045,13
1213,1,288112,6
1216,1,288415,51
1215,1,288448,65
1214,1,288478,8
1217,1,289468,0
1218,1,289919,59
1220,1,290661,29
1219,1,290745,32
1221,1,292331,8
1222,1,292642,30
1223,1,293608,41
1224,1,294173,16
1225,1,295132,55
1226,1,295464,41
1227,1,296714,49
1229,1,296833,18
1228,1,296901,61
1230,1,297487,0
1231,1,298143,8
1233,1,298450,32
1235,1,298561,8
1232,1,298561,8
1234,1,298889,14
1236,1,298937,3
1237,1,299317,14
1238,1,300967,26
1239,1,301542,49
1240,1,302302,51
1241,1,302528,8
1242,1,304564,3
1244,1,305860,59
1243,1,305992,16
1245,1,307905,49
1246,1,308600,41
1247,1,308799,40
1248,1,309855,64
1249,1,311724,19
1250,1,311852,12
1251,1,311879,12
1253,1,311900,13
1252,1,311910,12
1254,1,312303,9
1255,1,312418,9
1256,1,313109,67
1257,1,313336,3
1258,1,313794,8
1260,1,314856,56
1259,1,315011,63
1261,1,315479,12
1262,1,315825,0
1263,1,316225,60
1264,1,316433,15
1265,1,316679,13
1266,1,316750,63
1267,1,316750,63
1268,1,316991,10
1270,1,317039,10
1269,1,317166,51
1271,1,317358,10
1272,1,317391,58
1273,1,317513,10
1276,1,318162,0
1274,1,318285,51
1275,1,318384,13
1277,1,318434,60
1281,1,318434,60
1280,1,318443,13
1278,1,318489,63
1279,1,318494,63
1283,1,318861,14
1282,1,318947,8
1284,1,319152,9
1285,1,319571,30
1286,1,319582,66
1290,1,319675,27
1289,1,319724,9
1287,1,319773,30
1288,1,319846,51
1291,1,319978,27
1292,1,320052,63
1293,1,320432,21
1294,1,320472,13
1295,1,320698,26
1296,1,320905,49
1297,1,321103,63
1298,1,321241,0
1299,1,321391,15
1300,1,321587,37
1301,1,321805,61
1302,1,321939,26
1303,1,322025,26
1304,1,322034,49
1305,1,322762,26
1307,1,322794,13
1306,1,322800,40
1308,1,322908,57
1309,1,323035,21
1310,1,323215,8
1312,1,323637,59
1311,1,323720,6
1313,1,323819,19
1315,1,323858,0
1314,1,324039,27
1316,1,324267,30
1318,1,324325,4
1317,1,324373,16
1319,1,324533,19
1321,1,324819,27
1323,1,324884,8
1322,1,324903,20
1320,1,324940,21
1324,1,325199,8
1325,1,325235,60
1326,1,325515,63
1327,1,325651,40
1328,1,325890,14
1329,1,326161,29
1330,1,326346,41
1331,1,326439,29
1333,1,326532,15
1334,1,326536,15
1347,1,326536,15
1332,1,326608,3
1335,1,326691,16
1336,1,327041,26
1337,1,327079,58
1338,1,327304,30
1340,1,327567,8
1339,1,327594,6
1341,1,327776,9
1343,1,328516,13
1342,1,328593,15
1345,1,328709,8
1344,1,328813,19
1346,1,328925,55
1349,1,329058,0
1352,1,329058,0
1348,1,329135,44
1350,1,329327,26
1351,1,329406,6
1353,1,330102,0
1354,1,330364,15
1356,1,330866,30
1355,1,330892,13
1358,1,331050,6
1357,1,331091,32
1360,1,331339,8
1359,1,331367,15
1361,1,331452,4
1362,1,332257,60
1365,1,332569,17
1363,1,332604,31
1366,1,332674,58
1364,1,332768,14
1370,1,332832,0
1367,1,332876,64
1371,1,332899,21
1368,1,333001,30
1369,1,333009,4
1372,1,333830,52
1373,1,334256,55
1376,1,334339,63
1375,1,334402,40
1374,1,334507,6
1377,1,334906,8
1380,1,334992,30
1379,1,335074,0
1378,1,335101,49
1381,1,335511,49
1383,1,335590,30
1384,1,335660,6
1382,1,335781,8
1386,1,336056,63
1385,1,336090,9
1387,1,336406,30
1388,1,336714,59
1390,1,336719,31
1391,1,336837,8
1389,1,336850,30
1393,1,337144,59
1392,1,337209,17
1395,1,337209,9
1396,1,337380,20
1394,1,337446,6
1398,1,337777,10
1397,1,337880,15
1399,1,338251,0
1400,1,338469,50
1403,1,338528,40
1401,1,338570,0
1404,1,338645,37
1402,1,338677,37
1406,1,338922,40
1405,1,339091,59
1409,1,339149,15
1408,1,339321,16
1407,1,339379,57
1410,1,339601,60
1413,1,339786,6
1412,1,339848,59
1415,1,339887,31
1414,1,339900,31
1411,1,339996,14
1417,1,340157,30
1416,1,340221,13
1418,1,340256,44
1422,1,340325,3
1420,1,340422,26
1419,1,340504,60
1421,1,340575,0
1423,1,340689,15
1424,1,340804,45
1425,1,340890,0
1426,1,341182,31
1427,1,341223,15
1429,1,341357,14
1430,1,341357,14
1428,1,341497,60
1431,1,341857,59
1433,1,342155,40
1434,1,342188,0
1432,1,342376,40
1435,1,342608,49
1436,1,342904,0
1439,1,343026,11
1437,1,343085,16
1438,1,343151,0
1440,1,343274,63
1441,1,343419,14
1442,1,343545,52
1443,1,343715,3
1444,1,343918,49
1445,1,344180,17
1446,1,344493,0
1447,1,344529,61
1448,1,344555,7
1449,1,344768,14
1450,1,345149,59
1451,1,345847,26
1452,1,346013,21
1453,1,346108,30
1454,1,346282,13
1455,1,346597,0
1456,1,346846,11
1457,1,346894,41
1458,1,346925,31
1460,1,346968,30
1459,1,347025,30
1462,1,347641,41
1461,1,347756,60
1463,1,347900,4
1465,1,348242,13
1464,1,348284,53
1466,1,348546,3
1467,1,348679,54
1468,1,348752,13
1470,1,349164,13
1469,1,349290,41
1471,1,349513,22
1472,1,349652,65
1473,1,349692,65
1474,1,349910,13
1475,1,350063,51
1476,1,350168,31
1479,1,350202,58
1497,1,350202,58
1478,1,350208,31
1477,1,350258,58
1483,1,350348,55
1482,1,350366,55
1481,1,350373,55
1480,1,350448,0
1484,1,350727,26
1487,1,350857,0
1486,1,351003,30
1485,1,351081,30
1491,1,351148,32
1488,1,351168,0
1489,1,351263,22
1490,1,351346,30
1498,1,351430,41
1494,1,351491,3
1492,1,351543,65
1496,1,351548,49
1493,1,351615,30
